,summary,title,category
174,"A mentor’s main purpose is to help a child define individual goals and find ways to achieve them.  Since the expectation of each child will vary, the mentor’s job is to encourage the development of a flexible relationship that responds to both the mentor’s and the child’s needs.",I would like to become a mentor,Education
175,"Clerical Assistanted wanted.  Assist in filing, typing, record keeping, some receptionist duties.",Clerical Assistant,Strengthening Communities
176,"Public Relations: for our national publicity campaigns: press releases and other marketing materials and contact with major media, including newspapers, magazines, radio, television and the internet.",Public Relations ,Strengthening Communities
177,Spend one hour this Saturday learning how to change others' lives by teaching them how to ride a bicycle!,Give the Gift of Bicycling!,Helping Neighbors in Need
178,Year round or summer internship in NYC or virtually,Class Wish Internship,Education
179,"Facilitate an IT focused course, there are opportunities for basic, intermediate and specialized IT program facilitation in addition to assistance with community engagement and outreach.",Technology Course Facilitator ,Strengthening Communities
180,We are looking for enthusiastic volunteers to teach our ESL classes for the fall semester. No experience is necessary and training is provided!,Fall Volunteer ESL Teacher,Helping Neighbors in Need
181,A promotional video gives an organization the opportunity to communicate what the organization does and why it is important to a wide audience in an engaging manner. It offers an avenue for reaching potential patrons as well as people who may not yet be familiar with the organization.,Promotional Video for Professionals,Strengthening Communities
182,"Volunteer for 6th Annual Halloween Carnival set up and event in Park Slope, Bklyn.",Halloween Carnival/Haunted House Set Up,Strengthening Communities
183,"Join the Cents Ability volunteer corps to teach, mentor and coach young people to achieve their financial goals!",Join Cents Ability!,
184,"Sign up to volunteer at inMotion's Story by Story stair climb fundraiser on Thursday, October 6th!",Volunteer for inMotion's Story by Story Stair Climb to End Domestic Violence,Helping Neighbors in Need
185,"Lenox Hill Neighborhood House, widely recognized as one of New York's premier human services providers, is a 117-year-old settlement house that provides an extensive array of effective and integrated services.",Nutrition and Healthy Cooking Volunteer,
186,"Stop 'N' Swap reduces NYC's waste by finding new homes for unwanted, but usable items.  Help sort, fold and display items to make this a fun free reuse experience for all.",Brooklyn Stop 'N' Swap,Environment
187,"A social media plan helps an organization develop a presence in the digital sphere, through social media sites like Facebook, Twitter, and others. Social media helps an organization interact and engage with online audiences to increase awareness about its mission, all on a shoestring budget.",Social Media Plan for Professionals,Strengthening Communities
188,Pack backpacks for our Back to School distribution.,Summer Back to School Bash,Strengthening Communities
189,Volunteers are needed to participate in Met Council’s Passover Food Distribution for families affected by domestic violence.,Passover Food Distribution Volunteer Needed!  ,Helping Neighbors in Need
190,Girls Inc. of NYC seeks a HTML Curriculum Design Intern to supplement and expand our HTML curriculum for girls in grades 6 – 11.,HTML Curriculum Design Intern,Strengthening Communities
191,"Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",Help New Yorkers Affected by the Storm In Staten Island ,Helping Neighbors in Need
192,"Join Laundromat Project staff as we bring our mission to New Museum's StreetFest! Volunteers will help participants to silkscreen totebags, collect songs for a  community-made mixtape and sell our new Laundromat Survival Kits, which are filled with activities to do at the laundromat or at home.",Volunteer with the LP at New Museum's StreetFest May 7th!,
193,Met Council is looking for people passionate about helping others make healthier choices. We need your help to design and facilitate workshops to be held in our senior centers among other locations.,Met Council Nutrition Workshop Volunteer info session,Health
194,Tutors needed in after school programs for high school and junior high school students in Harlem.,Tutor Youth in Harlem --55+ Only,Education
195,"Civil Air Patrol has three congressionally mandated missions: Emergency Services, Aerospace Education and the Cadet Program.",Civil Air Patrol America's Best kept secret (Brooklyn),Strengthening Communities
196,"Metropolitan Council on Jewish Poverty is one of New York's largest human services agencies, providing more than 100,000 New Yorkers with critical services in their fight against poverty and its effects every year.",Wii Fitness Instructor for Seniors,Health
197,We are currently in the process of recruiting academic tutors for our after school programs. The time commitment is not strenuous. It is also a great opportunity to gain experience working with youth.,ACADEMIC TUTORING OPPORTUNITIES AT HARLEM RBI:  GREAT EXPERIENCE FOR ANYONE,Education
